date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:57:01	333/333	---M-Z	200	added ('OK')	text/plain	etag:%223c2-60df9379826c0-gzip%22	https://sevencollab.com/robots.txt		(from )
07:57:03	591630/591630	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2021:59:05%20GMT	https://sevencollab.com/video-conferencing-apps-with-integrated-payments/	C:/My%20Web%20Sites/seven2/sevencollab.com/video-conferencing-apps-with-integrated-payments/index.html	(from )
07:57:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2008%20Aug%202024%2021:59:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/seven2/www.googletagmanager.com/gtm.05445.delayed	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:07	849/849	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a498c7963aee61f75a28b5e7ab6582aa%22	https://r2.leadsy.ai/tag.js	C:/My%20Web%20Sites/seven2/r2.leadsy.ai/tag.js	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:08	5514/5514	---M-Z	200	added ('OK')	text/css	etag:%22158a-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/themes/sparks-child/assets/css/technologies-page.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks-child/assets/css/technologies-pagecbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:08	1028/1028	---M-Z	200	added ('OK')	text/css	etag:%22404-5f80d3fc9b400-gzip%22	https://sevencollab.com/wp-content/themes/sparks-child/assets/css/software-prototype-page.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks-child/assets/css/software-prototype-pagecbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:09	998/998	---M-Z	200	added ('OK')	text/css	etag:%223e6-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/themes/sparks-child/assets/css/cs-online-school.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks-child/assets/css/cs-online-schoolcbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:10	17224/17224	---M-Z	200	added ('OK')	text/css	etag:%224348-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/themes/sparks-child/assets/css/custom-software-development.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks-child/assets/css/custom-software-developmentcbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:10	2734/2734	---M-Z	200	added ('OK')	text/css	etag:%22aae-5f90f25c44a40-gzip%22	https://sevencollab.com/wp-content/themes/sparks-child/assets/css/web-app-development.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks-child/assets/css/web-app-developmentcbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:10	2963/2963	---M-Z	200	added ('OK')	text/css	etag:%22b93-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/themes/sparks-child/assets/css/mobile-app-development.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks-child/assets/css/mobile-app-developmentcbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:11	21133/21133	---M-Z	200	added ('OK')	text/css	etag:%22528d-5f751ae587e40-gzip%22	https://sevencollab.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.6.8	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/LayerSlider/static/layerslider/css/layersliderf7b3.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:12	1746/1746	---M-Z	200	added ('OK')	text/css	etag:%226d2-5f751ae587e40-gzip%22	https://sevencollab.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.9	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/contact-form-7/includes/css/styles38c6.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:12	1417/1417	---M-Z	200	added ('OK')	text/css	etag:%22589-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/plugins/wp-carousel-free/public/css/slick.min.css?ver=2.2.0	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/wp-carousel-free/public/css/slick.min3601.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:13	31011/31011	---M-Z	200	added ('OK')	text/css	etag:%227923-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/plugins/wp-carousel-free/public/css/font-awesome.min.css?ver=2.2.0	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/wp-carousel-free/public/css/font-awesome.min3601.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:13	7510/7510	---M-Z	200	added ('OK')	text/css	etag:%221d56-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/plugins/wp-carousel-free/public/css/wp-carousel-free-public.min.css?ver=2.2.0	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/wp-carousel-free/public/css/wp-carousel-free-public.min3601.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:14	658/658	---M-Z	200	added ('OK')	text/css	etag:%22292-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/plugins/wp-datepicker/css/front-styles.css?t=1723154344&ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/wp-datepicker/css/front-styles7517.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:14	35212/35212	---M-Z	200	added ('OK')	text/css	etag:%22898c-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/plugins/wp-datepicker/css/jquery-ui.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/wp-datepicker/css/jquery-uicbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:15	316/316	---M-Z	200	added ('OK')	text/css	etag:%2213c-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.min.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/plugins/wpcf7-redirect/build/css/wpcf7-redirect-frontend.mincbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:15	10016/10016	---M-Z	200	added ('OK')	text/css	etag:%222720-61865c82da948-gzip%22	https://sevencollab.com/wp-content/themes/sparks-child/assets/css/page-header-custom-section.css?ver=1.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks-child/assets/css/page-header-custom-sectionad05.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
07:57:16	660/660	---M-Z	200	added ('OK')	text/css	etag:%22294-5f751ae67c080-gzip%22	https://sevencollab.com/wp-content/themes/sparks/style.css?ver=4.9.4	C:/My%20Web%20Sites/seven2/sevencollab.com/wp-content/themes/sparks/stylecbf4.css	(from https://sevencollab.com/video-conferencing-apps-with-integrated-payments/)
